Idx 74; By LM; LR Iter6 %: 0.22; BT Iter1 %: 0.05; LR Acc: 43.24 | BT Acc: 53.45 | LM Acc: 88.89 | TT Acc: 82.43
Idx 75; By LM; LR Iter6 %: 0.21; BT Iter1 %: 0.05; LR Acc: 42.67 | BT Acc: 54.24 | LM Acc: 89.09 | TT Acc: 82.67
Idx 76; By LM; LR Iter6 %: 0.21; BT Iter1 %: 0.05; LR Acc: 43.42 | BT Acc: 55.00 | LM Acc: 89.29 | TT Acc: 82.89
Idx 77; By LM; LR Iter7 %: 0.21; BT Iter1 %: 0.05; LR Acc: 44.16 | BT Acc: 55.74 | LM Acc: 89.47 | TT Acc: 83.12
Idx 78; By LM; LR Iter7 %: 0.21; BT Iter1 %: 0.05; LR Acc: 43.59 | BT Acc: 56.45 | LM Acc: 89.66 | TT Acc: 83.33
Idx 79; By LM; LR Iter7 %: 0.20; BT Iter1 %: 0.05; LR Acc: 43.04 | BT Acc: 57.14 | LM Acc: 89.83 | TT Acc: 83.54
Idx 80; By LM; LR Iter7 %: 0.20; BT Iter1 %: 0.05; LR Acc: 43.75 | BT Acc: 57.81 | LM Acc: 90.00 | TT Acc: 83.75
Idx 81; By LM; LR Iter7 %: 0.20; BT Iter1 %: 0.05; LR Acc: 44.44 | BT Acc: 56.92 | LM Acc: 90.16 | TT Acc: 83.95
Idx 82; By LM; LR Iter7 %: 0.20; BT Iter1 %: 0.05; LR Acc: 43.90 | BT Acc: 57.58 | LM Acc: 90.32 | TT Acc: 84.15
Idx 83; By LR; LR Iter7 %: 0.20; BT Iter1 %: 0.05; LR Acc: 44.58 | BT Acc: 57.58 | LM Acc: 90.32 | TT Acc: 84.34
Idx 84; By BT; LR Iter7 %: 0.20; BT Iter1 %: 0.06; LR Acc: 45.24 | BT Acc: 58.21 | LM Acc: 90.32 | TT Acc: 84.52
Idx 85; By LM; LR Iter7 %: 0.20; BT Iter1 %: 0.06; LR Acc: 45.88 | BT Acc: 58.82 | LM Acc: 90.48 | TT Acc: 84.71
Idx 86; By LM; LR Iter7 %: 0.20; BT Iter1 %: 0.06; LR Acc: 45.35 | BT Acc: 59.42 | LM Acc: 90.62 | TT Acc: 84.88
Idx 87; By LR; LR Iter8 %: 0.21; BT Iter1 %: 0.06; LR Acc: 45.98 | BT Acc: 59.42 | LM Acc: 90.62 | TT Acc: 85.06
Idx 88; By LR; LR Iter8 %: 0.22; BT Iter1 %: 0.06; LR Acc: 45.45 | BT Acc: 59.42 | LM Acc: 90.62 | TT Acc: 84.09
